Practice ID,Practice Name,CMMC Domain,Control Description,AZ-104 Exam Domain,AZ-104 Skill,Azure Service(s),NIST 800-171 Ref,Implementation Notes
SC.L2-3.13.4,Shared Resource Control,System and Communications Protection,"Prevent unauthorized and unintended information transfer via shared system resources",Deploy and Manage Azure Compute Resources,"Configure VM isolation; Configure dedicated hosts","Azure Dedicated Hosts, VM isolation",3.13.4,Use Azure Dedicated Hosts for highest isolation; use Premium_v3 or isolated VM SKUs for workload separation; enable memory encryption where available
SC.L2-3.13.6,Network Communication by Exception,System and Communications Protection,Deny network communications traffic by default,Implement and Manage Virtual Networking,"Configure NSGs; Configure Azure Firewall","NSG (deny all default), Azure Firewall",3.13.6,Configure NSG default deny rules; use Azure Firewall with explicit allow rules only; log all denied traffic; review traffic analytics
SC.L2-3.13.7,Split Tunneling,System and Communications Protection,Prevent remote devices from connecting simultaneously to remote organizational system and other resources,Implement and Manage Virtual Networking,"Configure VPN Gateway forced tunneling","VPN Gateway (forced tunneling)",3.13.7,Enable forced tunneling on VPN Gateway connections; use UDRs to route all traffic through Azure Firewall; disable split tunneling in VPN client profiles
SC.L2-3.13.8,Data in Transit Encryption,System and Communications Protection,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission,Implement and Manage Storage / Virtual Networking,"Configure Azure Storage TLS; Configure VPN Gateway","TLS 1.2+, VPN Gateway, ExpressRoute",3.13.8,Enforce TLS 1.2 minimum on all Azure services; use VPN Gateway (IPsec/IKEv2) for site-to-site; use ExpressRoute with MACsec for dedicated connectivity
SC.L2-3.13.9,Network Disconnect,System and Communications Protection,Terminate network connections after a defined period of inactivity,Implement and Manage Virtual Networking,"Configure Conditional Access sign-in frequency; Configure VPN Gateway timeout","Conditional Access, VPN Gateway (timeout settings)",3.13.9,Configure Conditional Access sign-in frequency to terminate idle sessions; configure VPN Gateway idle timeout; set session timeout policies in NSG flow logs
SC.L2-3.13.10,Key Management,System and Communications Protection,Establish and manage cryptographic keys for cryptography employed in organizational systems,Implement and Manage Storage,"Configure Azure Key Vault; Manage encryption keys","Azure Key Vault, Azure Key Vault Managed HSM",3.13.10,Use Key Vault for all key management; configure automatic key rotation; use CMK for Storage encryption; use Managed HSM for FIPS 140-2 Level 3 compliance
SC.L2-3.13.11,FIPS-Validated Cryptography,System and Communications Protection,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI,Implement and Manage Storage,"Configure Azure Storage encryption; Configure Azure Key Vault HSM","Azure Key Vault (HSM), Azure services (FIPS 140-2)",3.13.11,Azure services use FIPS 140-2 validated modules; use Key Vault Premium (Level 2) or Managed HSM (Level 3); document Azure FIPS compliance from Service Trust Portal in SSP
SC.L2-3.13.12,Collaborative Computing,System and Communications Protection,"Prohibit remote activation of collaborative computing devices and provide indication to users",Deploy and Manage Azure Compute Resources,"Configure Azure Policy; Configure Intune","Azure Policy, Intune",3.13.12,[Partial] Use Intune to control camera/microphone access on managed devices; use Azure Policy to restrict collaboration service deployments
SC.L2-3.13.13,Mobile Code,System and Communications Protection,Control and monitor the use of mobile code,Deploy and Manage Azure Compute Resources,"Configure Defender for Cloud; Configure App Service","Defender for Cloud, App Service (security settings)",3.13.13,Enable Defender for Cloud adaptive application controls; restrict scripting in web apps; block unapproved mobile code via web application firewall rules
SC.L2-3.13.15,Communications Authenticity,System and Communications Protection,Protect the authenticity of communications sessions,Implement and Manage Virtual Networking,"Configure Azure VPN; Configure ExpressRoute","Azure VPN Gateway, ExpressRoute",3.13.15,Use VPN with certificate-based authentication; use ExpressRoute for authenticated dedicated circuits; enforce TLS with certificate pinning where applicable
SC.L2-3.13.16,Data at Rest Protection,System and Communications Protection,Protect the confidentiality of CUI at rest,Implement and Manage Storage,"Configure Azure Disk Encryption; Configure SSE","Azure Disk Encryption, SSE + CMK, SQL TDE",3.13.16,Enable ADE on all VMs; enable SSE with CMK on Storage Accounts; SQL TDE enabled by default; use Key Vault with HSM for key protection
SI.L1-3.14.1,Flaw Remediation,System and Information Integrity,"Identify, report, and correct information system flaws in a timely manner",Monitor and Maintain Azure Resources,"Monitor and manage Azure resources; Implement Update Manager","Defender for Cloud, Azure Update Manager",3.14.1,Enable Defender for Cloud CSPM; use Update Manager for scheduled patching; prioritize critical/high severity findings; track remediation via Secure Score
SI.L1-3.14.2,Malicious Code Protection,System and Information Integrity,Provide protection from malicious code at appropriate locations,Monitor and Maintain Azure Resources,"Configure Defender for Cloud; Monitor security posture","Defender for Servers, Antimalware, Defender for Storage",3.14.2,Deploy Microsoft Antimalware on Windows VMs; enable Defender for Servers (EDR); enable Defender for Storage for upload scanning
SI.L1-3.14.4,Update Malicious Code Protection,System and Information Integrity,Update malicious code protection mechanisms when new releases are available,Monitor and Maintain Azure Resources,"Implement Azure Update Manager; Monitor security configurations","Antimalware (auto-update), Azure Policy",3.14.4,Microsoft Antimalware updates automatically; apply Azure Policy to enforce antimalware deployment; monitor via Defender for Cloud recommendations
SI.L1-3.14.5,System and File Scanning,System and Information Integrity,"Perform periodic scans and real-time scans of files from external sources",Monitor and Maintain Azure Resources,"Monitor security posture with Defender for Cloud","Antimalware, Defender for Endpoint, Defender for Storage",3.14.5,Configure scheduled scans in antimalware extension; enable real-time protection; enable Defender for Storage malware scanning on uploads
SI.L2-3.14.3,Security Alerts,System and Information Integrity,Monitor system security alerts and advisories and take action in response,Monitor and Maintain Azure Resources,"Configure Azure Monitor alerts; Configure Defender for Cloud","Defender for Cloud, Azure Monitor, Service Health",3.14.3,Enable Defender for Cloud enhanced protections; configure email security contact; create Service Health alerts for security advisories; review and act on Defender alerts
SI.L2-3.14.6,Monitor System Security,System and Information Integrity,Monitor the organizational system to detect attacks and indicators of potential attacks,Monitor and Maintain Azure Resources,"Configure Microsoft Sentinel; Configure Defender for Cloud","Microsoft Sentinel, Defender for Cloud, NSG Flow Logs",3.14.6,Deploy Sentinel as SIEM; enable NSG Flow Logs; connect all data sources to Sentinel; create Analytic Rules for attack detection; monitor Defender for Cloud alerts
SI.L2-3.14.7,Identify Unauthorized Use,System and Information Integrity,Identify unauthorized use of organizational systems,Monitor and Maintain Azure Resources,"Configure Microsoft Sentinel; Configure Entra ID Protection","Sentinel (UEBA), Entra ID Protection, Defender for Cloud",3.14.7,Enable UEBA in Sentinel; enable Entra ID Identity Protection for risky user detection; create Sentinel Analytic Rules for unauthorized access patterns; run Entra ID Access Reviews
